batsman,bowler,inning,batsman_runs,is_wicket
RA Jadeja,B Kumar,54,51,0
RR Pant,SK Raina,52,51,0
G Gambhir,M Muralitharan,51,51,0
Yuvraj Singh,SR Watson,48,51,1
WP Saha,Harbhajan Singh,47,51,0
CH Gayle,MG Johnson,43,51,0
KA Pollard,R Ashwin,43,51,4
ST Jayasuriya,JA Morkel,43,51,0
SK Raina,P Awana,38,51,1
DA Warner,MG Johnson,33,51,1
DA Warner,KC Cariappa,31,51,0
CH Gayle,Rashid Khan,29,51,1
AB de Villiers,AD Russell,28,51,0
KH Pandya,MP Stoinis,28,51,3
HM Amla,SL Malinga,18,51,0
AC Gilchrist,DW Steyn,90,50,1
MS Dhoni,A Mishra,69,50,1
PA Patel,I Sharma,66,50,1
S Dhawan,L Balaji,64,50,0
SK Raina,MJ McClenaghan,64,50,1
SK Raina,JJ Bumrah,62,50,2
V Kohli,M Muralitharan,62,50,2
YK Pathan,B Kumar,61,50,4
G Gambhir,SK Warne,60,50,0
KD Karthik,AR Patel,59,50,1
MK Pandey,Bipul Sharma,57,50,1
DA Warner,AB Dinda,55,50,2
AB de Villiers,DS Kulkarni,53,50,1
SR Tendulkar,DW Steyn,53,50,1
KL Rahul,NA Saini,52,50,0
RR Pant,Mustafizur Rahman,52,50,0
BB McCullum,UT Yadav,51,50,1
CH Gayle,B Lee,51,50,1
RR Pant,RA Jadeja,51,50,1
G Gambhir,S Sreesanth,50,50,0
AT Rayudu,RA Jadeja,49,50,1
KS Williamson,JD Unadkat,45,50,1
KS Williamson,DJ Bravo,44,50,1
SR Watson,KV Sharma,43,50,1
LMP Simmons,KV Sharma,41,50,1
V Sehwag,A Mishra,40,50,1
KD Karthik,JJ Bumrah,39,50,0
IK Pathan,JA Morkel,36,50,0
NV Ojha,SB Jakati,35,50,1
SE Marsh,DJ Hooda,35,50,0
HH Pandya,PJ Cummins,28,50,0
KA Pollard,NLTC Perera,26,50,0
RG Sharma,Gagandeep Singh,26,50,0
JP Duminy,AB Dinda,23,50,1
V Kohli,S Kaushik,23,50,0
AB de Villiers,AB Dinda,21,50,0
F du Plessis,Harbhajan Singh,91,49,3
AM Rahane,I Sharma,79,49,2
JH Kallis,Harbhajan Singh,77,49,2
CH Gayle,DW Steyn,76,49,1
DA Warner,SK Raina,69,49,1
S Badrinath,KA Pollard,69,49,2
SV Samson,Sandeep Sharma,69,49,2
KD Karthik,Iqbal Abdulla,67,49,0
KK Nair,YS Chahal,67,49,1
SV Samson,R Ashwin,63,49,2
KS Williamson,RA Jadeja,61,49,0
JP Duminy,YS Chahal,56,49,1
S Dhawan,Z Khan,54,49,4
AB de Villiers,Shakib Al Hasan,53,49,0
SR Tendulkar,YK Pathan,53,49,0
CA Lynn,MJ McClenaghan,52,49,1
V Kohli,PV Tambe,48,49,1
SR Watson,DJ Bravo,47,49,3
V Kohli,TG Southee,47,49,1
DR Smith,KV Sharma,46,49,2
M Manhas,PP Chawla,46,49,0
HH Pandya,SP Narine,43,49,0
SR Watson,CH Morris,43,49,0
N Rana,RA Jadeja,41,49,0
ST Jayasuriya,JH Kallis,39,49,0
RV Uthappa,Washington Sundar,37,49,0
SPD Smith,P Kumar,36,49,0
SR Watson,VY Mahesh,34,49,0
SP Narine,K Gowtham,32,49,1
Shubman Gill,S Gopal,29,49,0
AT Rayudu,NA Saini,86,48,0
SR Tendulkar,IK Pathan,84,48,1
AM Rahane,SL Malinga,82,48,0
SA Yadav,AR Patel,82,48,1
AM Rahane,KH Pandya,76,48,2
DA Warner,DW Steyn,74,48,2
SR Watson,A Nehra,71,48,2
BB McCullum,S Nadeem,66,48,0
DPMD Jayawardene,Harbhajan Singh,61,48,2
RG Sharma,I Sharma,61,48,3
SR Watson,DS Kulkarni,61,48,2
R Dravid,JA Morkel,56,48,1
YK Pathan,L Balaji,55,48,1
SR Tendulkar,RP Singh,54,48,3
RR Pant,DS Kulkarni,53,48,0
