,id,players,calc_balls_played,calc_runs,is_wicket,calc_balls_bowled,calc_wickets_taken,fantasy_points
487,487,T Thushara,2,6,0,14,1,30
488,488,TA Boult,1,4,0,25,1,29
489,489,TD Paine,1,5,0,0,0,5
490,490,TG Southee,17,19,0,65,2,67
491,491,TK Curran,16,26,0,42,2,74
492,492,TL Suman,15,22,0,34,1,45
493,493,TM Dilshan,20,28,0,216,3,104
494,494,TM Head,37,34,0,34,1,57
495,495,TM Srivastava,3,8,0,0,0,8
496,496,TR Birt,12,15,0,0,0,15
497,497,TS Mills,0,2,0,44,1,27
498,498,TU Deshpande,18,21,0,133,3,94
499,499,U Kaul,0,0,0,0,0,0
500,500,UA Birla,1,7,0,0,0,7
501,501,UBT Chand,9,15,0,0,0,15
502,502,UT Khawaja,16,25,0,0,0,24
503,503,UT Yadav,4,8,0,28,1,33
504,504,Umar Gul,15,13,0,9,1,37
505,505,V Kohli,31,36,0,210,3,107
506,506,V Pratap Singh,0,0,0,30,1,25
507,507,V Sehwag,26,27,0,54,2,74
508,508,V Shankar,25,31,0,45,1,55
509,509,VH Zol,15,14,0,0,0,14
510,510,VR Aaron,5,12,0,43,1,36
511,511,VRV Singh,4,4,0,48,1,29
512,512,VS Malik,5,7,0,90,2,56
513,513,VS Yeligati,1,2,0,0,0,2
514,514,VVS Laxman,12,17,0,0,0,17
515,515,VY Mahesh,2,7,0,20,1,31
516,516,Vishnu Vinod,4,6,0,0,0,6
517,517,W Jaffer,11,18,0,0,0,17
518,518,WA Mota,6,11,0,23,1,35
519,519,WD Parnell,4,7,0,28,1,31
520,520,WP Saha,23,25,0,0,0,24
521,521,WPUJC Vaas,10,11,0,15,1,35
522,522,Washington Sundar,11,15,0,46,1,39
523,523,X Thalaivan Sargunam,5,10,0,0,0,10
524,524,Y Gnaneswara Rao,9,19,0,0,0,19
525,525,Y Nagar,14,19,0,34,1,43
526,526,Y Prithvi Raj,0,0,0,157,2,50
527,527,Y Venugopal Rao,17,23,0,88,2,70
528,528,YA Abdulla,0,0,0,18,1,25
529,529,YBK Jaiswal,6,13,0,0,0,13
530,530,YK Pathan,24,28,0,46,1,52
531,531,YS Chahal,0,4,0,25,1,29
532,532,YV Takawale,14,24,0,0,0,24
533,533,Yashpal Singh,4,11,0,0,0,11
534,534,Younis Khan,0,3,0,0,0,3
535,535,Yuvraj Singh,20,25,0,37,1,49
536,536,Z Khan,3,7,0,27,1,31
537,537,A Nel,0,0,0,46,1,25
538,538,AA Kazi,0,0,0,11,1,25
539,539,AM Salvi,0,0,0,39,1,25
540,540,AS Roy,0,0,0,14,0,0
541,541,Anand Rajan,0,0,0,22,1,25
542,542,B Geeves,0,0,0,45,2,50
543,543,BW Hilfenhaus,0,0,0,23,1,25
544,544,C Ganapathy,0,0,0,0,0,0
545,545,CJ Dala,0,0,0,0,0,0
546,546,CJ Green,0,0,0,0,0,0
547,547,DJ Willey,0,0,0,86,2,50
548,548,GS Sandhu,0,0,0,172,4,100
549,549,Gagandeep Singh,0,0,0,70,2,50
550,550,Harmeet Singh (2),0,0,0,71,1,25
551,551,JP Behrendorff,0,0,0,51,1,25
552,552,JR Hazlewood,0,0,0,291,3,75
553,553,JW Hastings,0,0,0,32,1,25
554,554,K Khejroliya,0,0,0,95,2,50
555,555,K Santokie,0,0,0,32,1,25
556,556,KM Asif,0,0,0,26,1,25
557,557,L Ngidi,0,0,0,8,1,25
558,558,MB Parmar,0,0,0,0,0,0
559,559,MG Neser,0,0,0,0,0,0
560,560,MJ Henry,0,0,0,45,1,25
561,561,Monu Kumar,0,0,0,0,0,0
562,562,NB Singh,0,0,0,19,1,25
563,563,O Thomas,0,0,0,9,1,25
564,564,P Amarnath,0,0,0,44,1,25
565,565,P Prasanth,0,0,0,0,0,0
566,566,P Suyal,0,0,0,311,3,75
567,567,RA Shaikh,0,0,0,0,0,0
568,568,RR Bose,0,0,0,0,0,0
569,569,RW Price,0,0,0,0,0,0
570,570,S Midhun,0,0,0,0,0,0
571,571,S Sandeep Warrier,0,0,0,178,2,50
572,572,SC Kuggeleijn,0,0,0,54,1,25
573,573,SM Boland,0,0,0,15,1,25
574,574,SS Agarwal,0,0,0,42,2,50
575,575,SS Mundhe,0,0,0,2,0,0
576,576,SS Sarkar,0,0,0,45,1,25
577,577,T Shamsi,0,0,0,117,2,50
578,578,TP Sudhindra,0,0,0,696,6,150
579,579,Tejas Baroka,0,0,0,0,0,0
